"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"partially_matched","insert_mutation",0.3,0.1,0.9,-9618.39058883266,"18|32|49|1|22|31|23|20|50|39|40|38|15|5|24|37|29|30|2|7|42|21|17|8|9|10|43|33|51|11|52|14|13|27|12|4|6|48|25|28|26|47|16|46|44|34|35|36|45|19|41|3"
"partially_matched","insert_mutation",0.3,0.2,0.6,-8885.27900300844,"40|37|38|43|33|51|11|52|14|13|27|48|24|5|15|6|4|25|12|28|26|47|46|34|35|36|49|32|1|22|31|18|45|19|10|9|8|41|3|17|21|42|7|2|30|23|20|50|29|16|44|39"
"partially_matched","insert_mutation",0.3,0.2,0.8,-8567.26762598717,"22|1|49|32|10|9|8|41|19|18|31|21|42|2|7|17|3|45|43|33|51|28|27|26|47|13|14|52|11|12|25|4|6|15|5|24|48|38|37|40|39|36|35|34|44|46|16|29|50|20|30|23"
"partially_matched","insert_mutation",0.3,0.2,0.9,-9463.77600960408,"38|37|40|39|36|35|34|49|32|21|42|7|2|30|29|47|26|13|14|52|27|28|16|50|20|23|31|17|3|18|22|1|44|46|25|12|11|51|4|6|45|19|41|8|9|10|33|43|15|5|24|48"
"partially_matched","insert_mutation",0.3,0.3,0.6,-9164.49755450185,"40|39|36|35|34|44|16|29|47|26|51|33|4|6|15|25|28|27|13|14|52|11|12|46|50|20|23|30|21|42|7|2|17|3|18|31|22|1|49|32|45|19|41|8|9|10|43|5|24|48|38|37"
"partially_matched","insert_mutation",0.3,0.3,0.8,-9762.87559380969,"19|3|17|7|2|42|21|18|49|39|37|5|15|6|33|11|51|25|48|24|38|40|41|8|9|10|43|4|12|28|27|13|52|14|47|26|46|36|35|34|44|16|29|50|20|30|23|31|22|1|32|45"
"partially_matched","insert_mutation",0.3,0.3,0.9,-9071.18454428641,"39|40|5|15|6|4|33|43|32|22|1|45|19|41|8|9|10|24|48|44|23|20|50|16|46|25|12|51|11|52|14|13|27|28|26|47|29|30|42|2|7|21|17|3|18|31|49|36|35|34|38|37"
"partially_matched","scramble_mutation",0.1,0.1,0.6,-10275.0293312311,"44|16|50|20|17|41|8|9|10|32|23|42|7|2|30|29|47|14|13|27|26|46|36|45|19|3|18|21|31|22|1|49|39|40|43|33|51|11|52|28|12|25|4|6|15|5|24|48|38|37|35|34"
"partially_matched","scramble_mutation",0.1,0.1,0.8,-10253.0415580723,"16|50|20|23|21|31|18|3|41|19|45|32|40|38|15|12|51|33|10|9|8|43|4|6|5|24|48|46|44|29|47|26|11|52|14|13|27|28|25|36|35|1|30|2|7|42|17|22|49|39|37|34"
"partially_matched","scramble_mutation",0.1,0.1,0.9,-9747.46099113222,"24|48|37|40|39|36|1|3|17|7|2|42|30|38|15|6|4|51|11|52|14|13|47|26|27|28|33|43|10|9|41|8|19|45|18|21|31|22|23|20|50|29|16|49|32|35|34|44|46|12|25|5"
"partially_matched","scramble_mutation",0.1,0.2,0.6,-9230.61794939975,"48|5|15|6|4|25|51|11|52|14|13|47|26|27|28|12|33|10|9|8|41|43|40|39|36|35|49|31|23|30|42|7|2|17|21|44|34|32|45|19|3|18|22|1|20|50|29|16|46|37|38|24"
"partially_matched","scramble_mutation",0.1,0.2,0.8,-11264.0186466863,"10|9|8|41|19|3|22|40|15|6|25|28|12|4|38|39|35|44|20|29|16|37|5|24|48|46|27|26|47|50|30|2|7|42|17|21|23|1|34|36|49|32|31|18|45|43|11|52|14|13|51|33"
"partially_matched","scramble_mutation",0.1,0.2,0.9,-11422.319555979,"38|40|39|36|16|23|18|3|19|45|41|8|9|10|43|15|6|4|25|27|47|14|52|13|37|35|49|1|22|32|31|17|21|20|50|34|44|29|30|2|7|42|33|51|11|12|28|26|46|48|24|5"
"partially_matched","scramble_mutation",0.1,0.3,0.6,-11109.0767306167,"21|23|20|29|16|46|44|34|37|40|39|36|8|9|10|15|5|12|28|47|13|14|52|11|33|43|6|25|26|27|51|4|24|48|38|49|3|41|19|45|35|50|30|2|7|42|31|22|1|32|18|17"
"partially_matched","scramble_mutation",0.1,0.3,0.8,-10585.8642174065,"9|10|33|43|5|38|40|39|49|18|21|30|42|2|7|17|3|24|12|51|11|52|14|13|27|28|6|35|16|29|47|26|46|44|1|22|20|50|23|31|34|36|37|48|25|4|15|32|45|19|41|8"
"partially_matched","scramble_mutation",0.1,0.3,0.9,-12517.5597349756,"48|24|5|38|40|29|20|23|18|42|2|7|17|22|36|39|46|16|44|34|9|10|33|13|52|11|51|4|15|1|31|21|30|50|47|26|28|14|27|12|43|19|41|8|45|3|32|49|35|37|25|6"
"partially_matched","scramble_mutation",0.2,0.1,0.6,-9316.17034250111,"48|24|5|15|6|4|25|12|28|27|13|26|46|22|31|18|17|3|41|8|9|10|19|45|32|49|1|23|21|42|7|2|30|20|50|34|37|43|33|51|11|52|14|47|29|16|44|35|36|39|40|38"
"partially_matched","scramble_mutation",0.2,0.1,0.8,-9885.51884004833,"14|13|27|28|12|25|6|5|24|48|38|40|34|35|49|32|18|22|1|36|39|37|46|26|47|29|20|23|21|17|3|41|19|45|44|16|50|30|42|2|7|31|15|4|43|8|9|10|33|51|11|52"
"partially_matched","scramble_mutation",0.2,0.1,0.9,-9815.87694920887,"34|37|39|36|35|49|1|22|18|17|3|19|45|38|48|24|6|4|25|11|52|14|13|47|29|50|20|23|31|21|42|7|2|30|32|40|5|15|43|41|8|9|10|33|51|12|28|27|26|46|16|44"
"partially_matched","scramble_mutation",0.2,0.2,0.6,-9634.67124696016,"45|32|49|38|15|4|6|5|24|48|16|29|47|27|13|14|52|11|51|12|28|26|25|46|50|20|44|34|35|36|37|40|39|19|41|3|17|18|31|21|42|7|2|30|23|22|1|43|33|10|9|8"
"partially_matched","scramble_mutation",0.2,0.2,0.8,-10691.9721361149,"39|38|24|48|5|15|43|45|19|41|8|9|10|33|51|25|42|2|7|17|3|6|4|12|11|52|27|28|26|13|14|47|46|40|37|16|29|20|50|44|34|35|36|49|32|18|31|21|30|23|22|1"
"partially_matched","scramble_mutation",0.2,0.2,0.9,-9279.61013420091,"38|40|39|36|35|49|32|45|31|21|42|7|2|30|23|20|34|1|22|18|17|3|19|41|8|9|10|33|43|37|44|46|27|28|12|51|11|52|14|13|26|47|29|50|16|48|24|25|4|6|15|5"
"partially_matched","scramble_mutation",0.2,0.3,0.6,-8833.34156077032,"48|5|15|6|4|33|51|11|52|14|13|47|26|27|28|12|25|46|16|50|20|29|2|7|42|30|23|21|17|18|22|32|49|35|36|39|40|24|43|10|9|8|41|19|45|3|31|1|44|34|37|38"
